scenario_id,main_mode,trip_scope,final_selected_plan_main_trips,sample_territorial_main_trips,expanded_territorial_main_trips_per_technical_weekday,excluded_main_trips_for_mode,unresolved_route_geometry,invalid_coordinates,missing_distance_measurements,zero_distance_routes,unexpected_main_modes,unexpected_pt_route_modes,final_iteration_stuck_events,final_iteration_relevant_stuck_events
BAU_2040,car,INTERNAL,564798,60118,1202360,178609,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,car,INBOUND,564798,19371,387420,178609,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,car,OUTBOUND,564798,14652,293040,178609,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,car,THROUGH,564798,2154,43080,178609,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,pt,INTERNAL,564798,53497,1069940,18350,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,pt,INBOUND,564798,9093,181860,18350,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,pt,OUTBOUND,564798,8428,168560,18350,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,pt,THROUGH,564798,1677,33540,18350,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,bike,INTERNAL,564798,35156,703120,54748,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,bike,INBOUND,564798,6967,139340,54748,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,bike,OUTBOUND,564798,6531,130620,54748,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,bike,THROUGH,564798,729,14580,54748,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,walk,INTERNAL,564798,33744,674880,57539,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,walk,INBOUND,564798,1913,38260,57539,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,walk,OUTBOUND,564798,1412,28240,57539,0,0,0,0,NONE,ferry=1,8,0
BAU_2040,walk,THROUGH,564798,110,2200,57539,0,0,0,0,NONE,ferry=1,8,0
FAST_TRACK_2040,car,INTERNAL,564798,59647,1192940,178701,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,car,INBOUND,564798,19416,388320,178701,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,car,OUTBOUND,564798,14723,294460,178701,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,car,THROUGH,564798,2045,40900,178701,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,pt,INTERNAL,564798,54159,1083180,18124,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,pt,INBOUND,564798,9298,185960,18124,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,pt,OUTBOUND,564798,8637,172740,18124,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,pt,THROUGH,564798,1647,32940,18124,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,bike,INTERNAL,564798,35144,702880,54543,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,bike,INBOUND,564798,7082,141640,54543,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,bike,OUTBOUND,564798,6652,133040,54543,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,bike,THROUGH,564798,821,16420,54543,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,walk,INTERNAL,564798,33718,674360,56963,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,walk,INBOUND,564798,1923,38460,56963,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,walk,OUTBOUND,564798,1435,28700,56963,0,0,0,0,NONE,ferry=1,13,1
FAST_TRACK_2040,walk,THROUGH,564798,120,2400,56963,0,0,0,0,NONE,ferry=1,13,1
