route_id,route_name,inferred_mode,original_route_type,corrected_route_type,selection_reason,classification_basis,retained_trips,agency_id,munich_flag,analysis_rail_flag,ferry_flag,bmw_works_line_flag,deutschlandtakt_flag,deutschlandtakt_line_name,forecast_network_2037_flag,forecast_measure_flag,s_bahn_name
11_MUC_Tram neu Prognose,11_MUC_Tram neu Prognose,tram,0,0,trip serves at least two distinct stops inside network extent,forecast route name identifies Munich tram,238,1,1,0,0,0,0,,1,1,
12_MUC_Tram neu Prognose,12_MUC_Tram neu Prognose,tram,0,0,trip serves at least two distinct stops inside network extent,forecast route name identifies Munich tram,238,1,1,0,0,0,0,,1,1,
13_MUC_Tram neu Prognose,13_MUC_Tram neu Prognose,tram,0,0,trip serves at least two distinct stops inside network extent,forecast route name identifies Munich tram,212,1,1,0,0,0,0,,1,1,
1449905_102,1449905_102,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,3,unknown,0,1,0,0,0,,1,0,
1494279_3,1494279_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,10,unknown,0,0,0,0,0,,1,0,
14_MUC_Tram neu Prognose,14_MUC_Tram neu Prognose,tram,0,0,trip serves at least two distinct stops inside network extent,forecast route name identifies Munich tram,72,1,1,0,0,0,0,,1,1,
1607908_3,1607908_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
1607911_3,1607911_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
1607912_3,1607912_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
1607913_3,1607913_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
1607914_3,1607914_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
1607915_3,1607915_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
1607916_3,1607916_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,9,unknown,0,0,0,0,0,,1,0,
1607918_3,1607918_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,5,unknown,0,0,0,0,0,,1,0,
1607919_3,1607919_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
161788_2,161788_2,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,431,unknown,0,1,0,0,0,,0,0,
161839_2,161839_2,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,160,unknown,0,1,0,0,0,,0,0,
