artifact_id,logical_purpose,bau_path,fast_track_path,bau_exists,fast_track_exists,bau_git_state,fast_track_git_state,hash_method,bau_sha256,fast_track_sha256,difference_status,measure_or_basis,reproducibility_note
current_scenario_config,Existing technical scenario configuration,scenarios/munich_bau_2040/config_bau.xml,scenarios/munich_fast_track_2040/config_fast_track.xml,true,true,TRACKED,TRACKED,CANONICAL_UTF8_LF_SHA256,650A560AC9B170EC11E63AF1E07C83810ABBD998C7AFC0BB51DBCDBA006D7DEB,7A0ABF75489FD657B10E4F4ED7172D55D60FFAC4DC6299BEF37711D731BAB6F4,UNRESOLVED_LEGACY_CONFIG_NOT_PRODUCTION_READY,Technical predecessor only,Step 2 must create new contract-compliant production configs; these files were not changed by this task
scenario_population,Complete five-percent 2040 regional population,scenarios/munich_bau_2040/population_2040.xml,scenarios/munich_fast_track_2040/population_2040_fast_track.xml,true,true,IGNORED,IGNORED,RAW_SHA256,FF93581E4FF105BE86408102BFA3D45CC0CC06C200763DA01B0DC344C4323C6B,290A16DFB5E8C735199194451253C620360AC4DD23C7A923026119C790604197,ALLOWED_DIFFERENCE,Olympic Village and Media Village activity relocation,Both files contain 336208 persons according to the validated population methodology; Fast Track is derived reproducibly from the unchanged BAU population
combined_network,Scenario-local road and PT pseudonetwork,scenarios/munich_bau_2040/input_transit/network-with-pt.xml.gz,scenarios/munich_fast_track_2040/input_transit/network-with-pt.xml.gz,true,true,IGNORED,IGNORED,RAW_SHA256,DBE26DE64FFF835F218A8B78001697C114D5C45E1B497B3B27C459CBDA586E12,815840C96DD8AA5B6168E14F1DD0BC92B880C4D1912A83F4D9C57AEF0C16DDA5,ALLOWED_DIFFERENCE,Fast Track PT pseudonetwork plus pedestrian-zone car restrictions,Fast Track removes car from 12 spatial links and one technical connector; other road properties retain the documented common semantic digest
transit_schedule,Scenario-local 2040 transit schedule,scenarios/munich_bau_2040/input_transit/transitSchedule.xml.gz,scenarios/munich_fast_track_2040/input_transit/transitSchedule.xml.gz,true,true,IGNORED,IGNORED,RAW_SHA256,FD8496A4B751EB46C7964FD285ED075BC7E62513152B9284FA7BCE93B28CC30B,EC2E07DAD41FEFCEA587B56B5C803DB3A47AD1D4ED1AC7DF5C5D830127EE0921,ALLOWED_DIFFERENCE,U9 U4 extension Nordring and Mobility Hub transfer changes,Fast Track adds documented services and changes exactly 790 existing transfer-time values
transit_vehicles,Scenario-local transit vehicle definitions,scenarios/munich_bau_2040/input_transit/transitVehicles.xml.gz,scenarios/munich_fast_track_2040/input_transit/transitVehicles.xml.gz,true,true,IGNORED,IGNORED,RAW_SHA256,03F9617EB5D8E0CD464C4C8BF5B4ADC051B78431883BDD21B6A46CFB4B37CDCB,57F79CF0C15745A86EE517F8F2D27647F2EA323337EDBEA924B7DE1A2A6B0786,ALLOWED_DIFFERENCE,Vehicle set generated with each scenario schedule,Vehicle capacities remain converter assumptions as documented
munich_boundary,Common municipal analysis boundary,original-input-data/munich-demography/munich_boundary.json,original-input-data/munich-demography/munich_boundary.json,true,true,TRACKED,TRACKED,CANONICAL_UTF8_LF_SHA256,EFBC37F0627F94D95DAB67D1C5A2B9D05507DC9E8C9492A98A35BFF4A4AE2A26,EFBC37F0627F94D95DAB67D1C5A2B9D05507DC9E8C9492A98A35BFF4A4AE2A26,IDENTICAL_REQUIRED,BOTH_INSIDE analysis scope,Only line endings are canonicalized; geometry and all other content remain protected
base_road_network,Common source road network,scenarios/munich_base_2023/studyNetworkDense.xml,scenarios/munich_base_2023/studyNetworkDense.xml,true,true,IGNORED,IGNORED,RAW_SHA256,FFE53A5CF7386D9255F9C1A7DF0DFD388410F9C84635582699C1826C3AF0572E,FFE53A5CF7386D9255F9C1A7DF0DFD388410F9C84635582699C1826C3AF0572E,IDENTICAL_SOURCE,Shared road basis,Fast Track restrictions are applied only during the documented combined-network build
bau_gtfs_source,BAU cleaned forecast GTFS,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_clean.zip,true,true,IGNORED,IGNORED,RAW_SHA256,91518C445DC1699396A7D377C18075DB78D164BC9813B2929B6F7242B8070B0A,91518C445DC1699396A7D377C18075DB78D164BC9813B2929B6F7242B8070B0A,IDENTICAL_COMMON_BASE,Common implemented 2040 transit measures,Fast Track starts from this common feed before documented additions
fast_track_gtfs_source,Fast Track forecast GTFS additions,NOT_APPLICABLE,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_fast_track.zip,false,true,NOT_APPLICABLE,IGNORED,RAW_SHA256,NOT_APPLICABLE,3F82E66EB7B0999D210B639BC85571CC59D06E9969FA53146FA5CA43D9578A0F,ALLOWED_DIFFERENCE,U9 U4 extension and Nordring services,Versioned build specifications and generated archive provide provenance
common_service_specification,Common GTFS measure specification,original-input-data/mvv_gtfs_2037/common_service_specification.csv,original-input-data/mvv_gtfs_2037/common_service_specification.csv,true,true,TRACKED,TRACKED,CANONICAL_UTF8_LF_SHA256,3E9AE3FBE7EE7A51BE51725040DB1A8A153A519AF83F44FFBB4FECCD6E0125B7,3E9AE3FBE7EE7A51BE51725040DB1A8A153A519AF83F44FFBB4FECCD6E0125B7,IDENTICAL_COMMON_BASE,Common forecast transit measures,Specification is versioned and must remain unchanged
fast_track_service_specification,Fast Track GTFS measure specification,NOT_APPLICABLE,original-input-data/mvv_gtfs_2037/fast_track_service_specification.csv,false,true,NOT_APPLICABLE,TRACKED,CANONICAL_UTF8_LF_SHA256,NOT_APPLICABLE,0DF6C17D5C594B383BA46BE8FB9A73953B0C0876D453257B5B16DE1FD8C24095,ALLOWED_DIFFERENCE,U9 U4 extension and Nordring services,Specification is versioned and fail-closed build code consumes it
pedestrian_zone_specification,Fast Track road restriction specification,NOT_APPLICABLE,original-input-data/mvv_gtfs_2037/fast_track_pedestrian_zone_links.csv,false,true,NOT_APPLICABLE,TRACKED,CANONICAL_UTF8_LF_SHA256,NOT_APPLICABLE,B19C32750FE8AFD22EE6EE6813FA44FDD07D4FB25EBDD832B5561B0F9CD067FF,ALLOWED_DIFFERENCE,Fast Track pedestrian zones,Exactly 12 spatial links and one technical connector are specified
mobility_hub_specification,Fast Track transfer proxy specification,NOT_APPLICABLE,original-input-data/fast_track_2040_sources/mobility_hubs/approved_mobility_hubs.csv,false,true,NOT_APPLICABLE,TRACKED,CANONICAL_UTF8_LF_SHA256,NOT_APPLICABLE,6759DB4391F66F30576A2055CB74DC19C60E9AA572CA684B46596B1C44B4BAAD,ALLOWED_DIFFERENCE,Twelve Fast Track Mobility Hubs,Specification selects four hubs per class and the documented transfer reductions
