"rank","size","eligible","excel_row","mp_id","name","address","epsg25832_easting","epsg25832_northing","epsg31468_x","epsg31468_y","nearest_stop_distance_m","nearest_stop_id","matched_matsim_stop_ids","served_matsim_stop_ids","matched_stop_groups","matched_stop_names","distinct_line_count","matched_line_ids","route_count","matsim_modes","lhm_mode_flags","mode_flag_comparison","carsharing_spaces","possible_transfer_pair_count","current_transfer_relation_count","current_transfer_times","confidence","selection_reason","unresolved_issue"
"1","large","true","67","312","ZOB","Bernhard-Wicki-Straße","689565.110","5335307.695","4466497.007","5333956.412","29.1","106097","106097;106098;106098.1;106098.2;106099;106099.1;106100;106101;106102;106103;106103.1;106103.2;106103.3;106103.4;106103.5;106103.6;181029;181030;181030.1;181030.10;181030.11;181030.12;181030.13;181030.2;181030.3;181030.4;181030.5;181030.6;181030.7;181030.8;181030.9","106098;106098.1;106098.2;106099;106099.1;106100;106101;106102;106103;106103.1;106103.2;106103.3;106103.4;106103.5;106103.6;181030;181030.1;181030.10;181030.11;181030.12;181030.13;181030.2;181030.3;181030.4;181030.5;181030.6;181030.7;181030.8;181030.9","106097=[106097;106098;106098.1;106098.2;106099;106099.1;106100;106101;106102;106103;106103.1;106103.2;106103.3;106103.4;106103.5;106103.6]|181029=[181029;181030;181030.1;181030.10;181030.11;181030.12;181030.13;181030.2;181030.3;181030.4;181030.5;181030.6;181030.7;181030.8;181030.9]","Hackerbrücke;ZOB","52","XXX---162007_2_1158069508;XXX---162194_2;XXX---162294_101;XXX---162297_101;XXX---162298_102;XXX---162300_101;XXX---162304_102;XXX---162429_106;XXX---162452_106_2;XXX---162452_106_3;XXX---162455_109;XXX---162456_109;XXX---162458_109;XXX---162459_109;XXX---162460_109;XXX---162461_109;XXX---162462_109;XXX---16_MUC_Tram neu Prognose;XXX---17_MUC_Tram neu Prognose;XXX---2089440_3;XXX---2089441_3;XXX---2089496_3;XXX---2089518_3;XXX---2089552_3;XXX---2089555_3;XXX---2089556_3;XXX---2089558_3;XXX---2089559_3;XXX---2089560_3;XXX---2089561_3;XXX---2089574_3;XXX---2089583_3;XXX---2089594_3;XXX---2089606_3;XXX---2089616_3;XXX---2089624_3;XXX---2089655_3;XXX---2089656_3;XXX---2089660_3;XXX---2089662_3;XXX---2089663_3;XXX---2089664_3;XXX---2089668_3;XXX---2089674_3;XXX---2197794_3;XXX---2272018_0;XXX---2272121_3;XXX---S2_Prognose_Petershausen/Altomünster-Holzkirchen;XXX---S3_Prognose_Maisach-Erding;XXX---S4_Prognose_Geltendorf-Grafing;XXX---S7_Prognose_Geretsried Süd-Kreuzstraße;XXX---S8_Prognose_Herrsching-Schwaigerlohe","427","bus;rail;tram","bus=Ja|tram=Ja|u_bahn=Nein|s_bahn=Ja","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","2652","37","106098>106098=300s;106098>106099=300s;106098>106100=300s;106098>106101=300s;106098>106102=300s;106098>106103=300s;106099>106098=300s;106099>106099=300s;106099>106100=300s;106099>106101=300s;106099>106102=300s;106099>106103=300s;106100>106098=300s;106100>106099=300s;106100>106100=300s;106100>106101=300s;106100>106102=300s;106100>106103=300s;106101>106098=300s;106101>106099=300s;106101>106100=300s;106101>106101=300s;106101>106102=300s;106101>106103=300s;106102>106098=300s;106102>106099=300s;106102>106100=300s;106102>106101=300s;106102>106102=300s;106102>106103=300s;106103>106098=300s;106103>106099=300s;106103>106100=300s;106103>106101=300s;106103>106102=300s;106103>106103=300s;181030>181030=180s","high","deterministic rank from 52 lines, 3 MATSim modes, 6 carsharing spaces, mp_id 312","none"
"2","large","true","66","506","Ostbahnhof/Belfortstraße","Belfortstraße 2","693719.219","5333910.103","4470593.305","5332397.968","23.1","106083","106075;106076;106076.1;106078;106078.1;106079;106079.1;106079.2;106080;106080.1;106081;106081.1;106081.2;106082;106083;106085;106085.1;106085.2;106086;107900;107901;107901.1;107902;107902.1;182907;182909;182909.1","106076;106076.1;106078;106078.1;106079;106079.1;106079.2;106080;106080.1;106081;106081.1;106081.2;106082;106083;106085;106085.1;106085.2;106086;107901;107901.1;107902;107902.1;182909;182909.1","106075=[106075;106076;106076.1;106078;106078.1;106079;106079.1;106079.2;106080;106080.1;106081;106081.1;106081.2;106082;106083;106085;106085.1;106085.2;106086]|107900=[107900;107901;107901.1;107902;107902.1]|182907=[182907;182909;182909.1]","München Ost;Ostbahnhof;Ostbahnhof (Post);Ostbahnhof 2.Stammstrecke","25","XXX---2268555_3;XXX---2271999_1;XXX---2272017_0;XXX---2272026_0;XXX---2272034_3;XXX---2272035_3;XXX---2272038_3;XXX---2272041_3;XXX---2272043_3;XXX---2272051_3;XXX---2272063_3;XXX---2272065_3;XXX---2272070_3;XXX---2272127_3;XXX---2272128_3;XXX---2272129_3;XXX---2272132_3;XXX---2272140_3;XXX---MUC_U5_neu Prognose;XXX---S18X_Prognose_Herrsching-Leuchtenbergring;XXX---S1_Prognose_Ebersberg/Leuchtenbergring-Schwaigerlohe/Freising;XXX---S21X_Prognose_Landshut-Leuchtenbergring;XXX---S23X_Prognose_Augsburg-Flughafen;XXX---S24X_Prognose_Buchloe-Leuchtenbergring;XXX---S6_Prognose_Tutzing-Leuchtenbergring","139","bus;rail;subway;tram","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Ja","bus:match;s_bahn:match_via_rail_proxy;tram:mismatch;u_bahn:match","6","600","86","106076>106076=180s;106076>106078=180s;106076>106079=180s;106076>106080=180s;106076>106081=180s;106076>106082=180s;106076>106083=180s;106076>106085=180s;106076>106086=180s;106078>106076=180s;106078>106078=180s;106078>106079=180s;106078>106080=180s;106078>106081=180s;106078>106082=180s;106078>106083=180s;106078>106085=180s;106078>106086=180s;106079>106076=180s;106079>106078=180s;106079>106079=180s;106079>106080=180s;106079>106081=180s;106079>106082=180s;106079>106083=180s;106079>106085=180s;106079>106086=180s;106080>106076=180s;106080>106078=180s;106080>106079=180s;106080>106080=180s;106080>106081=180s;106080>106082=180s;106080>106083=180s;106080>106085=180s;106080>106086=180s;106081>106076=180s;106081>106078=180s;106081>106079=180s;106081>106080=180s;106081>106081=180s;106081>106082=180s;106081>106083=180s;106081>106085=180s;106081>106086=180s;106082>106076=180s;106082>106078=180s;106082>106079=180s;106082>106080=180s;106082>106081=180s;106082>106082=180s;106082>106083=180s;106082>106085=180s;106082>106086=180s;106083>106076=180s;106083>106078=180s;106083>106079=180s;106083>106080=180s;106083>106081=180s;106083>106082=180s;106083>106083=180s;106083>106085=180s;106083>106086=180s;106085>106076=180s;106085>106078=180s;106085>106079=180s;106085>106080=180s;106085>106081=180s;106085>106082=180s;106085>106083=180s;106085>106085=180s;106085>106086=180s;106086>106076=180s;106086>106078=180s;106086>106079=180s;106086>106080=180s;106086>106081=180s;106086>106082=180s;106086>106083=180s;106086>106085=180s;106086>106086=180s;107901>107901=180s;107901>107902=180s;107902>107901=180s;107902>107902=180s;182909>182909=0s","medium","deterministic rank from 25 lines, 4 MATSim modes, 6 carsharing spaces, mp_id 506","LHM tram=Nein vs MATSim tram=true"
"3","large","true","61","62","Münchner Freiheit","Münchner Freiheit","692329.986","5337609.636","4469349.459","5336148.692","24.1","107349","107347;107348;107348.1;107348.2;107349;107349.1;107349.2;107349.3;107350;107350.1;107350.2;107351;107352;107352.1;107353;107353.1;107353.2;107353.3;107354;107355;107355.1;107355.2;107356;107356.1;FT_U9_MUENCHNER_FREIHEIT_D0;FT_U9_MUENCHNER_FREIHEIT_D1","107348;107348.1;107348.2;107349;107349.1;107349.2;107349.3;107350;107350.1;107350.2;107351;107352;107352.1;107353;107353.1;107353.2;107353.3;107354;107355;107355.1;107355.2;107356;107356.1;FT_U9_MUENCHNER_FREIHEIT_D0;FT_U9_MUENCHNER_FREIHEIT_D1","107347=[107347;107348;107348.1;107348.2;107349;107349.1;107349.2;107349.3;107350;107350.1;107350.2;107351;107352;107352.1;107353;107353.1;107353.2;107353.3;107354;107355;107355.1;107355.2;107356;107356.1;FT_U9_MUENCHNER_FREIHEIT_D0;FT_U9_MUENCHNER_FREIHEIT_D1]","Münchner Freiheit","18","XXX---13_MUC_Tram neu Prognose;XXX---2271997_1;XXX---2272000_1;XXX---2272012_0;XXX---2272033_3;XXX---2272034_3;XXX---2272039_3;XXX---2272060_3;XXX---2272125_3;XXX---2272126_3;XXX---2272127_3;XXX---2272128_3;XXX---2272129_3;XXX---2272145_3;XXX---23_MUC_Tram neu Prognose;XXX---FT_U9;XXX---MUC_U3_neu Prognose;XXX---MUC_U6_neu Prognose","151","bus;subway;tram","bus=Ja|tram=Ja|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","306","81","107348>107348=180s;107348>107349=180s;107348>107350=180s;107348>107351=180s;107348>107352=180s;107348>107353=180s;107348>107354=180s;107348>107355=180s;107348>107356=180s;107349>107348=180s;107349>107349=180s;107349>107350=180s;107349>107351=180s;107349>107352=180s;107349>107353=180s;107349>107354=180s;107349>107355=180s;107349>107356=180s;107350>107348=180s;107350>107349=180s;107350>107350=180s;107350>107351=180s;107350>107352=180s;107350>107353=180s;107350>107354=180s;107350>107355=180s;107350>107356=180s;107351>107348=180s;107351>107349=180s;107351>107350=180s;107351>107351=180s;107351>107352=180s;107351>107353=180s;107351>107354=180s;107351>107355=180s;107351>107356=180s;107352>107348=180s;107352>107349=180s;107352>107350=180s;107352>107351=180s;107352>107352=180s;107352>107353=180s;107352>107354=180s;107352>107355=180s;107352>107356=180s;107353>107348=180s;107353>107349=180s;107353>107350=180s;107353>107351=180s;107353>107352=180s;107353>107353=180s;107353>107354=180s;107353>107355=180s;107353>107356=180s;107354>107348=180s;107354>107349=180s;107354>107350=180s;107354>107351=180s;107354>107352=180s;107354>107353=180s;107354>107354=180s;107354>107355=180s;107354>107356=180s;107355>107348=180s;107355>107349=180s;107355>107350=180s;107355>107351=180s;107355>107352=180s;107355>107353=180s;107355>107354=180s;107355>107355=180s;107355>107356=180s;107356>107348=180s;107356>107349=180s;107356>107350=180s;107356>107351=180s;107356>107352=180s;107356>107353=180s;107356>107354=180s;107356>107355=180s;107356>107356=180s","medium","deterministic rank from 18 lines, 3 MATSim modes, 6 carsharing spaces, mp_id 62","embedded line break in name"
"4","large","true","95","503","Rosenheimer Platz","Steinstraße 72","693004.693","5333884.443","4469878.356","5332400.185","16.7","106069","106069;106070;106070.1;106070.2;106070.3;106071;106072;106073","106070;106070.1;106070.2;106070.3;106071;106072;106073","106069=[106069;106070;106070.1;106070.2;106070.3;106071;106072;106073]","Rosenheimer Platz","18","XXX---13_MUC_Tram neu Prognose;XXX---162455_109;XXX---162456_109;XXX---162458_109;XXX---162459_109;XXX---162460_109;XXX---162461_109;XXX---162462_109;XXX---2255086_3;XXX---2272005_0;XXX---2272010_0;XXX---2272013_0;XXX---25_MUC_Tram neu Prognose;XXX---S2_Prognose_Petershausen/Altomünster-Holzkirchen;XXX---S3_Prognose_Maisach-Erding;XXX---S4_Prognose_Geltendorf-Grafing;XXX---S7_Prognose_Geretsried Süd-Kreuzstraße;XXX---S8_Prognose_Herrsching-Schwaigerlohe","315","bus;rail;tram","bus=Nein|tram=Ja|u_bahn=Nein|s_bahn=Ja","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","306","16","106070>106070=300s;106070>106071=300s;106070>106072=300s;106070>106073=300s;106071>106070=300s;106071>106071=300s;106071>106072=300s;106071>106073=300s;106072>106070=300s;106072>106071=300s;106072>106072=300s;106072>106073=300s;106073>106070=300s;106073>106071=300s;106073>106072=300s;106073>106073=300s","medium","deterministic rank from 18 lines, 3 MATSim modes, 5 carsharing spaces, mp_id 503","LHM bus=Nein vs MATSim bus=true"
"5","medium","true","101","203","Baaderstraße","Baaderstraße 2","692091.655","5334378.030","4468985.296","5332928.973","87.4","106063","106063;106064;106064.1;106064.2;106064.3;106064.4;106065;106065.1;106066;106067;106067.1;106068;106068.1;106068.2","106064;106064.1;106064.2;106064.3;106064.4;106065;106065.1;106066;106067;106067.1;106068;106068.1;106068.2","106063=[106063;106064;106064.1;106064.2;106064.3;106064.4;106065;106065.1;106066;106067;106067.1;106068;106068.1;106068.2]","Isartor","18","XXX---162455_109;XXX---162456_109;XXX---162458_109;XXX---162459_109;XXX---162460_109;XXX---162461_109;XXX---162462_109;XXX---16_MUC_Tram neu Prognose;XXX---17_MUC_Tram neu Prognose;XXX---2272006_0;XXX---2272007_0;XXX---2272025_0;XXX---2272053_3;XXX---S2_Prognose_Petershausen/Altomünster-Holzkirchen;XXX---S3_Prognose_Maisach-Erding;XXX---S4_Prognose_Geltendorf-Grafing;XXX---S7_Prognose_Geretsried Süd-Kreuzstraße;XXX---S8_Prognose_Herrsching-Schwaigerlohe","315","bus;rail;tram","bus=Ja|tram=Ja|u_bahn=Nein|s_bahn=Ja","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","3","306","25","106064>106064=300s;106064>106065=300s;106064>106066=300s;106064>106067=300s;106064>106068=300s;106065>106064=300s;106065>106065=300s;106065>106066=300s;106065>106067=300s;106065>106068=300s;106066>106064=300s;106066>106065=300s;106066>106066=300s;106066>106067=300s;106066>106068=300s;106067>106064=300s;106067>106065=300s;106067>106066=300s;106067>106067=300s;106067>106068=300s;106068>106064=300s;106068>106065=300s;106068>106066=300s;106068>106067=300s;106068>106068=300s","medium","deterministic rank from 18 lines, 3 MATSim modes, 3 carsharing spaces, mp_id 203","none"
"6","medium","true","7","49","Giesinger Bahnhof","Giesinger Bahnhofsplatz","693156.138","5331870.812","4469951.187","5330382.275","23.1","108496","108495;108496;108497;108498;108498.1;108498.2;108498.3;108499;108499.1;108500;108501;108502;108502.1;108503;108503.1;108504;108504.1;108505;108506;108506.1;108507;108507.1;108508;108509;108509.1","108496;108497;108498;108498.1;108498.2;108498.3;108499;108499.1;108500;108501;108502;108502.1;108503;108503.1;108504;108504.1;108505;108506;108506.1;108507;108507.1;108508;108509;108509.1","108495=[108495;108496;108497;108498;108498.1;108498.2;108498.3;108499;108499.1;108500;108501;108502;108502.1;108503;108503.1;108504;108504.1;108505;108506;108506.1;108507;108507.1;108508;108509;108509.1]","Giesing","17","XXX---162458_109;XXX---162461_109;XXX---18_MUC_Tram neu Prognose;XXX---2268562_3;XXX---2271996_1;XXX---2272001_1;XXX---2272008_0;XXX---2272034_3;XXX---2272039_3;XXX---2272057_3;XXX---2272064_3;XXX---2272127_3;XXX---2272128_3;XXX---28_MUC_Tram neu Prognose;XXX---MUC_U2_neu Prognose;XXX---S2_Prognose_Petershausen/Altomünster-Holzkirchen;XXX---S7_Prognose_Geretsried Süd-Kreuzstraße","186","bus;rail;subway;tram","bus=Ja|tram=Ja|u_bahn=Ja|s_bahn=Ja","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","272","196","108496>108496=180s;108496>108497=180s;108496>108498=180s;108496>108499=180s;108496>108500=180s;108496>108501=180s;108496>108502=180s;108496>108503=180s;108496>108504=180s;108496>108505=180s;108496>108506=180s;108496>108507=180s;108496>108508=180s;108496>108509=180s;108497>108496=180s;108497>108497=180s;108497>108498=180s;108497>108499=180s;108497>108500=180s;108497>108501=180s;108497>108502=180s;108497>108503=180s;108497>108504=180s;108497>108505=180s;108497>108506=180s;108497>108507=180s;108497>108508=180s;108497>108509=180s;108498>108496=180s;108498>108497=180s;108498>108498=180s;108498>108499=180s;108498>108500=180s;108498>108501=180s;108498>108502=180s;108498>108503=180s;108498>108504=180s;108498>108505=180s;108498>108506=180s;108498>108507=180s;108498>108508=180s;108498>108509=180s;108499>108496=180s;108499>108497=180s;108499>108498=180s;108499>108499=180s;108499>108500=180s;108499>108501=180s;108499>108502=180s;108499>108503=180s;108499>108504=180s;108499>108505=180s;108499>108506=180s;108499>108507=180s;108499>108508=180s;108499>108509=180s;108500>108496=180s;108500>108497=180s;108500>108498=180s;108500>108499=180s;108500>108500=180s;108500>108501=180s;108500>108502=180s;108500>108503=180s;108500>108504=180s;108500>108505=180s;108500>108506=180s;108500>108507=180s;108500>108508=180s;108500>108509=180s;108501>108496=180s;108501>108497=180s;108501>108498=180s;108501>108499=180s;108501>108500=180s;108501>108501=180s;108501>108502=180s;108501>108503=180s;108501>108504=180s;108501>108505=180s;108501>108506=180s;108501>108507=180s;108501>108508=180s;108501>108509=180s;108502>108496=180s;108502>108497=180s;108502>108498=180s;108502>108499=180s;108502>108500=180s;108502>108501=180s;108502>108502=180s;108502>108503=180s;108502>108504=180s;108502>108505=180s;108502>108506=180s;108502>108507=180s;108502>108508=180s;108502>108509=180s;108503>108496=180s;108503>108497=180s;108503>108498=180s;108503>108499=180s;108503>108500=180s;108503>108501=180s;108503>108502=180s;108503>108503=180s;108503>108504=180s;108503>108505=180s;108503>108506=180s;108503>108507=180s;108503>108508=180s;108503>108509=180s;108504>108496=180s;108504>108497=180s;108504>108498=180s;108504>108499=180s;108504>108500=180s;108504>108501=180s;108504>108502=180s;108504>108503=180s;108504>108504=180s;108504>108505=180s;108504>108506=180s;108504>108507=180s;108504>108508=180s;108504>108509=180s;108505>108496=180s;108505>108497=180s;108505>108498=180s;108505>108499=180s;108505>108500=180s;108505>108501=180s;108505>108502=180s;108505>108503=180s;108505>108504=180s;108505>108505=180s;108505>108506=180s;108505>108507=180s;108505>108508=180s;108505>108509=180s;108506>108496=180s;108506>108497=180s;108506>108498=180s;108506>108499=180s;108506>108500=180s;108506>108501=180s;108506>108502=180s;108506>108503=180s;108506>108504=180s;108506>108505=180s;108506>108506=180s;108506>108507=180s;108506>108508=180s;108506>108509=180s;108507>108496=180s;108507>108497=180s;108507>108498=180s;108507>108499=180s;108507>108500=180s;108507>108501=180s;108507>108502=180s;108507>108503=180s;108507>108504=180s;108507>108505=180s;108507>108506=180s;108507>108507=180s;108507>108508=180s;108507>108509=180s;108508>108496=180s;108508>108497=180s;108508>108498=180s;108508>108499=180s;108508>108500=180s;108508>108501=180s;108508>108502=180s;108508>108503=180s;108508>108504=180s;108508>108505=180s;108508>108506=180s;108508>108507=180s;108508>108508=180s;108508>108509=180s;108509>108496=180s;108509>108497=180s;108509>108498=180s;108509>108499=180s;108509>108500=180s;108509>108501=180s;108509>108502=180s;108509>108503=180s;108509>108504=180s;108509>108505=180s;108509>108506=180s;108509>108507=180s;108509>108508=180s;108509>108509=180s","high","deterministic rank from 17 lines, 4 MATSim modes, 6 carsharing spaces, mp_id 49","none"
"7","medium","true","27","1002","Moosach Bahnhof","Bunzlauer Straße 12","686379.904","5339368.047","4463472.661","5338137.842","28.1","106860","106857;106859;106859.1;106859.2;106859.3;106859.4;106859.5;106860;106860.1;106861;106861.1;106862;106862.1;106862.2;106862.3;106862.4;106866;106867;106867.1","106859;106859.1;106859.2;106859.3;106859.4;106859.5;106860;106860.1;106861;106861.1;106862;106862.1;106862.2;106862.3;106862.4;106866;106867;106867.1","106857=[106857;106859;106859.1;106859.2;106859.3;106859.4;106859.5;106860;106860.1;106861;106861.1;106862;106862.1;106862.2;106862.3;106862.4;106866;106867;106867.1]","Moosach","14","XXX---162442_106;XXX---162448_106;XXX---162449_106;XXX---162455_109;XXX---20_MUC_Tram neu Prognose;XXX---2271997_1;XXX---2272076_3;XXX---2272077_3;XXX---2272083_3;XXX---2272143_3;XXX---514707_106;XXX---MUC_U3_neu Prognose;XXX---S1_Prognose_Ebersberg/Leuchtenbergring-Schwaigerlohe/Freising;XXX---S21X_Prognose_Landshut-Leuchtenbergring","103","bus;rail;subway;tram","bus=Ja|tram=Ja|u_bahn=Ja|s_bahn=Ja","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","9","182","36","106859>106859=180s;106859>106860=180s;106859>106861=180s;106859>106862=180s;106859>106866=180s;106859>106867=180s;106860>106859=180s;106860>106860=180s;106860>106861=180s;106860>106862=180s;106860>106866=180s;106860>106867=180s;106861>106859=180s;106861>106860=180s;106861>106861=180s;106861>106862=180s;106861>106866=180s;106861>106867=180s;106862>106859=180s;106862>106860=180s;106862>106861=180s;106862>106862=180s;106862>106866=180s;106862>106867=180s;106866>106859=180s;106866>106860=180s;106866>106861=180s;106866>106862=180s;106866>106866=180s;106866>106867=180s;106867>106859=180s;106867>106860=180s;106867>106861=180s;106867>106862=180s;106867>106866=180s;106867>106867=180s","high","deterministic rank from 14 lines, 4 MATSim modes, 9 carsharing spaces, mp_id 1002","none"
"8","medium","true","102","402","Scheidplatz","Scheidplatz 1 a","691345.635","5338475.384","4468399.669","5337052.144","2.7","107137","107135;107136;107136.1;107137;107137.1;107140;107141;107141.1;107142;107142.1;107142.2;107143;107143.1;107144;107144.1;107144.2;107145;107145.1;107145.2;107146;107147;107148;107149;107149.1;107150","107136;107136.1;107137;107137.1;107141;107141.1;107142;107142.1;107142.2;107143;107143.1;107144;107144.1;107144.2;107145;107145.1;107145.2;107146;107147;107148;107149;107149.1;107150","107135=[107135;107136;107136.1;107137;107137.1]|107140=[107140;107141;107141.1;107142;107142.1;107142.2;107143;107143.1;107144;107144.1;107144.2;107145;107145.1;107145.2;107146;107147;107148;107149;107149.1;107150]","Scheidplatz;Scheidplatz Süd","14","XXX---12_MUC_Tram neu Prognose;XXX---2271996_1;XXX---2271997_1;XXX---2272004_0;XXX---2272015_0;XXX---2272058_3;XXX---2272059_3;XXX---2272060_3;XXX---2272062_3;XXX---2272126_3;XXX---2272145_3;XXX---28_MUC_Tram neu Prognose;XXX---MUC_U2_neu Prognose;XXX---MUC_U3_neu Prognose","87","bus;subway;tram","bus=Ja|tram=Ja|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","11","182","104","107136>107136=180s;107136>107137=180s;107137>107136=180s;107137>107137=180s;107141>107141=180s;107141>107142=180s;107141>107143=180s;107141>107144=180s;107141>107145=180s;107141>107146=180s;107141>107147=180s;107141>107148=180s;107141>107149=180s;107141>107150=180s;107142>107141=180s;107142>107142=180s;107142>107143=180s;107142>107144=180s;107142>107145=180s;107142>107146=180s;107142>107147=180s;107142>107148=180s;107142>107149=180s;107142>107150=180s;107143>107141=180s;107143>107142=180s;107143>107143=180s;107143>107144=180s;107143>107145=180s;107143>107146=180s;107143>107147=180s;107143>107148=180s;107143>107149=180s;107143>107150=180s;107144>107141=180s;107144>107142=180s;107144>107143=180s;107144>107144=180s;107144>107145=180s;107144>107146=180s;107144>107147=180s;107144>107148=180s;107144>107149=180s;107144>107150=180s;107145>107141=180s;107145>107142=180s;107145>107143=180s;107145>107144=180s;107145>107145=180s;107145>107146=180s;107145>107147=180s;107145>107148=180s;107145>107149=180s;107145>107150=180s;107146>107141=180s;107146>107142=180s;107146>107143=180s;107146>107144=180s;107146>107145=180s;107146>107146=180s;107146>107147=180s;107146>107148=180s;107146>107149=180s;107146>107150=180s;107147>107141=180s;107147>107142=180s;107147>107143=180s;107147>107144=180s;107147>107145=180s;107147>107146=180s;107147>107147=180s;107147>107148=180s;107147>107149=180s;107147>107150=180s;107148>107141=180s;107148>107142=180s;107148>107143=180s;107148>107144=180s;107148>107145=180s;107148>107146=180s;107148>107147=180s;107148>107148=180s;107148>107149=180s;107148>107150=180s;107149>107141=180s;107149>107142=180s;107149>107143=180s;107149>107144=180s;107149>107145=180s;107149>107146=180s;107149>107147=180s;107149>107148=180s;107149>107149=180s;107149>107150=180s;107150>107141=180s;107150>107142=180s;107150>107143=180s;107150>107144=180s;107150>107145=180s;107150>107146=180s;107150>107147=180s;107150>107148=180s;107150>107149=180s;107150>107150=180s","high","deterministic rank from 14 lines, 3 MATSim modes, 11 carsharing spaces, mp_id 402","none"
"9","small","true","86","510","Grillparzerstraße","Versailler Straße 1","694163.352","5334778.649","4471070.940","5333248.494","30.7","106185","106184;106185;106185.1;106185.2;106185.3;106185.4;106186;106187;106187.1;106188;106189;106190","106185;106185.1;106185.2;106185.3;106185.4;106186;106187;106187.1;106188;106189;106190","106184=[106184;106185;106185.1;106185.2;106185.3;106185.4;106186;106187;106187.1;106188;106189;106190]","Grillparzerstraße","14","XXX---19_MUC_Tram neu Prognose;XXX---2255006_3;XXX---2272009_0;XXX---2272010_0;XXX---2272034_3;XXX---2272038_3;XXX---2272043_3;XXX---2272051_3;XXX---2272065_3;XXX---2272127_3;XXX---2272128_3;XXX---2272132_3;XXX---2272140_3;XXX---25_MUC_Tram neu Prognose","85","bus;tram","bus=Ja|tram=Ja|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","182","36","106185>106185=180s;106185>106186=180s;106185>106187=180s;106185>106188=180s;106185>106189=180s;106185>106190=180s;106186>106185=180s;106186>106186=180s;106186>106187=180s;106186>106188=180s;106186>106189=180s;106186>106190=180s;106187>106185=180s;106187>106186=180s;106187>106187=180s;106187>106188=180s;106187>106189=180s;106187>106190=180s;106188>106185=180s;106188>106186=180s;106188>106187=180s;106188>106188=180s;106188>106189=180s;106188>106190=180s;106189>106185=180s;106189>106186=180s;106189>106187=180s;106189>106188=180s;106189>106189=180s;106189>106190=180s;106190>106185=180s;106190>106186=180s;106190>106187=180s;106190>106188=180s;106190>106189=180s;106190>106190=180s","high","deterministic rank from 14 lines, 2 MATSim modes, 4 carsharing spaces, mp_id 510","none"
"10","small","true","103","7","Rindermarkt","Rindermarkt ggü. 15; nordöstl. Ecke Brunnen","691517.936","5334638.592","4468422.194","5333211.695","71.9","106641","106059;106060;106060.1;106060.2;106495;106496;106497;106555;106555.1;106640;106641;106642","106060;106060.1;106060.2;106496;106497;106555;106555.1;106641;106642","106059=[106059;106060;106060.1;106060.2]|106495=[106495;106496;106497]|106554=[106555;106555.1]|106640=[106640;106641;106642]","Marienplatz;Marienplatz (Rindermarkt);St.-Jakobs-Platz;Viktualienmarkt","14","XXX---162455_109;XXX---162456_109;XXX---162458_109;XXX---162459_109;XXX---162460_109;XXX---162461_109;XXX---162462_109;XXX---2272032_3;XXX---2272041_3;XXX---S2_Prognose_Petershausen/Altomünster-Holzkirchen;XXX---S3_Prognose_Maisach-Erding;XXX---S4_Prognose_Geltendorf-Grafing;XXX---S7_Prognose_Geretsried Süd-Kreuzstraße;XXX---S8_Prognose_Herrsching-Schwaigerlohe","298","bus;rail","bus=Nein|tram=Nein|u_bahn=Ja|s_bahn=Ja","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:mismatch","0","182","10","106060>106060=300s;106496>106496=180s;106496>106497=180s;106497>106496=180s;106497>106497=180s;106555>106555=180s;106641>106641=180s;106641>106642=180s;106642>106641=180s;106642>106642=180s","medium","deterministic rank from 14 lines, 2 MATSim modes, 0 carsharing spaces, mp_id 7","LHM bus=Nein vs MATSim bus=true; LHM u_bahn=Ja vs MATSim subway=false"
