final_rank,size,initial_rank,rank_change,mp_id,name,address,assigned_hub_node,grouping_basis,assigned_stop_area_ids,assigned_facility_ids,served_facility_ids,nearest_served_stop_id,nearest_served_stop_distance_m,distinct_line_count,matched_line_ids,route_count,matsim_modes,lhm_mode_flags,mode_review,carsharing_spaces,possible_directed_line_transfer_pairs,existing_minimal_transfer_relation_count,existing_self_relation_count,existing_cross_stop_relation_count,existing_transfer_time_distribution,confidence,selection_reason,model_assumption,unresolved_issue
1,large,2,1,506,Ostbahnhof/Belfortstraße,Belfortstraße 2,Ostbahnhof station complex,"Main Ostbahnhof, Ostbahnhof (Post), and the second-trunk-line StopArea are treated as one named station complex.",106075;107900;182907,106075;106076;106076.1;106077;106077.1;106077.10;106077.11;106077.12;106077.13;106077.14;106077.15;106077.16;106077.17;106077.18;106077.2;106077.3;106077.4;106077.5;106077.6;106077.7;106077.8;106077.9;106078;106078.1;106079;106079.1;106079.2;106080;106080.1;106081;106081.1;106081.2;106082;106083;106084;106085;106085.1;106085.2;106086;107900;107901;107901.1;107902;107902.1;182907;182908;182908.1;182908.2;182908.3;182909;182909.1,106076;106076.1;106077;106077.1;106077.10;106077.11;106077.12;106077.13;106077.14;106077.15;106077.16;106077.17;106077.18;106077.2;106077.3;106077.4;106077.5;106077.6;106077.7;106077.8;106077.9;106078;106078.1;106079;106079.1;106079.2;106080;106080.1;106081;106081.1;106081.2;106082;106083;106084;106085;106085.1;106085.2;106086;107901;107901.1;107902;107902.1;182908;182908.1;182908.2;182908.3;182909;182909.1,106083,23.1,57,XXX---162007_2_1158069508;XXX---162007_2_1158069900;XXX---162263_102;XXX---162298_102;XXX---162319_102;XXX---162424_106;XXX---162425_106;XXX---162455_109;XXX---162456_109;XXX---162458_109;XXX---162459_109;XXX---162460_109;XXX---162461_109;XXX---162462_109;XXX---1960464_106;XXX---1960467_106;XXX---21_MUC_Tram neu Prognose;XXX---2268555_3;XXX---2271999_1;XXX---2272017_0;XXX---2272026_0;XXX---2272034_3;XXX---2272035_3;XXX---2272038_3;XXX---2272041_3;XXX---2272043_3;XXX---2272051_3;XXX---2272063_3;XXX---2272065_3;XXX---2272070_3;XXX---2272127_3;XXX---2272128_3;XXX---2272129_3;XXX---2272132_3;XXX---2272140_3;XXX---232602_2;XXX---E 28.a BY;XXX---E 28.b BY;XXX---E 56 BY;XXX---EC83/85/87;XXX---FV 25.a/25.b BY;XXX---FV 40;XXX---MUC_U5_neu Prognose;XXX---N 28.a BY;XXX---N 28.b BY;XXX---N 56 BY;XXX---S18X_Prognose_Herrsching-Leuchtenbergring;XXX---S1_Prognose_Ebersberg/Leuchtenbergring-Schwaigerlohe/Freising;XXX---S21X_Prognose_Landshut-Leuchtenbergring;XXX---S23X_Prognose_Augsburg-Flughafen;XXX---S24X_Prognose_Buchloe-Leuchtenbergring;XXX---S2_Prognose_Petershausen/Altomünster-Holzkirchen;XXX---S3_Prognose_Maisach-Erding;XXX---S4_Prognose_Geltendorf-Grafing;XXX---S6_Prognose_Tutzing-Leuchtenbergring;XXX---S7_Prognose_Geretsried Süd-Kreuzstraße;XXX---S8_Prognose_Herrsching-Schwaigerlohe,522,bus;rail;subway;tram,bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Ja,LHM tram=Nein; MATSim tram lines serve the confirmed Ostbahnhof complex.,6,3192,129,15,114,0s×2;180s×127,medium,"Eligible confirmed node; deterministic order by lines desc, modes desc, carsharing spaces desc, mp_id asc.",The three colocated Ostbahnhof StopAreas are combined; unrelated Friedenstraße and Bildungszentrum stops are excluded.,none
2,large,1,-1,312,ZOB,Bernhard-Wicki-Straße,ZOB / Hackerbrücke station complex,Two StopAreas combined as one documented interchange complex.,106097;181029,106097;106098;106098.1;106098.2;106099;106099.1;106100;106101;106102;106103;106103.1;106103.2;106103.3;106103.4;106103.5;106103.6;181029;181030;181030.1;181030.10;181030.11;181030.12;181030.13;181030.2;181030.3;181030.4;181030.5;181030.6;181030.7;181030.8;181030.9,106098;106098.1;106098.2;106099;106099.1;106100;106101;106102;106103;106103.1;106103.2;106103.3;106103.4;106103.5;106103.6;181030;181030.1;181030.10;181030.11;181030.12;181030.13;181030.2;181030.3;181030.4;181030.5;181030.6;181030.7;181030.8;181030.9,106098,88.3,52,XXX---162007_2_1158069508;XXX---162194_2;XXX---162294_101;XXX---162297_101;XXX---162298_102;XXX---162300_101;XXX---162304_102;XXX---162429_106;XXX---162452_106_2;XXX---162452_106_3;XXX---162455_109;XXX---162456_109;XXX---162458_109;XXX---162459_109;XXX---162460_109;XXX---162461_109;XXX---162462_109;XXX---16_MUC_Tram neu Prognose;XXX---17_MUC_Tram neu Prognose;XXX---2089440_3;XXX---2089441_3;XXX---2089496_3;XXX---2089518_3;XXX---2089552_3;XXX---2089555_3;XXX---2089556_3;XXX---2089558_3;XXX---2089559_3;XXX---2089560_3;XXX---2089561_3;XXX---2089574_3;XXX---2089583_3;XXX---2089594_3;XXX---2089606_3;XXX---2089616_3;XXX---2089624_3;XXX---2089655_3;XXX---2089656_3;XXX---2089660_3;XXX---2089662_3;XXX---2089663_3;XXX---2089664_3;XXX---2089668_3;XXX---2089674_3;XXX---2197794_3;XXX---2272018_0;XXX---2272121_3;XXX---S2_Prognose_Petershausen/Altomünster-Holzkirchen;XXX---S3_Prognose_Maisach-Erding;XXX---S4_Prognose_Geltendorf-Grafing;XXX---S7_Prognose_Geretsried Süd-Kreuzstraße;XXX---S8_Prognose_Herrsching-Schwaigerlohe,427,bus;rail;tram,bus=Ja|tram=Ja|u_bahn=Nein|s_bahn=Ja,No targeted unresolved mode discrepancy in this review.,6,2652,37,7,30,180s×1;300s×36,medium,"Eligible confirmed node; deterministic order by lines desc, modes desc, carsharing spaces desc, mp_id asc.",Combining the colocated coach terminal and Hackerbrücke rail/tram node is a model-node assumption.,none
3,large,7,4,1002,Moosach Bahnhof,Bunzlauer Straße 12,Moosach station complex,"Single complete StopArea, including platforms previously outside the radial subset.",106857,106857;106858;106858.1;106859;106859.1;106859.2;106859.3;106859.4;106859.5;106860;106860.1;106861;106861.1;106862;106862.1;106862.2;106862.3;106862.4;106863;106863.1;106864;106864.1;106864.2;106865;106865.1;106866;106867;106867.1;106868;106868.1;106869;106869.1,106858;106858.1;106859;106859.1;106859.2;106859.3;106859.4;106859.5;106860;106860.1;106861;106861.1;106862;106862.1;106862.2;106862.3;106862.4;106863;106863.1;106864;106864.1;106864.2;106865;106865.1;106866;106867;106867.1;106868;106868.1;106869;106869.1,106860,28.1,20,XXX---162442_106;XXX---162448_106;XXX---162449_106;XXX---162455_109;XXX---20_MUC_Tram neu Prognose;XXX---2268792_3;XXX---2271997_1;XXX---2272031_3;XXX---2272076_3;XXX---2272077_3;XXX---2272083_3;XXX---2272090_3;XXX---2272122_3;XXX---2272141_3;XXX---2272143_3;XXX---2272146_3;XXX---514707_106;XXX---MUC_U3_neu Prognose;XXX---S1_Prognose_Ebersberg/Leuchtenbergring-Schwaigerlohe/Freising;XXX---S21X_Prognose_Landshut-Leuchtenbergring,141,bus;rail;subway;tram,bus=Ja|tram=Ja|u_bahn=Ja|s_bahn=Ja,No targeted unresolved mode discrepancy in this review.,9,380,144,12,132,180s×144,high,"Eligible confirmed node; deterministic order by lines desc, modes desc, carsharing spaces desc, mp_id asc.",none,none
4,large,3,-1,62,Münchner Freiheit,Münchner Freiheit,Münchner Freiheit,Single complete StopArea.,107347,107347;107348;107348.1;107348.2;107349;107349.1;107349.2;107349.3;107350;107350.1;107350.2;107351;107352;107352.1;107353;107353.1;107353.2;107353.3;107354;107355;107355.1;107355.2;107356;107356.1;FT_U9_MUENCHNER_FREIHEIT_D0;FT_U9_MUENCHNER_FREIHEIT_D1,107348;107348.1;107348.2;107349;107349.1;107349.2;107349.3;107350;107350.1;107350.2;107351;107352;107352.1;107353;107353.1;107353.2;107353.3;107354;107355;107355.1;107355.2;107356;107356.1;FT_U9_MUENCHNER_FREIHEIT_D0;FT_U9_MUENCHNER_FREIHEIT_D1,107349,24.1,18,XXX---13_MUC_Tram neu Prognose;XXX---2271997_1;XXX---2272000_1;XXX---2272012_0;XXX---2272033_3;XXX---2272034_3;XXX---2272039_3;XXX---2272060_3;XXX---2272125_3;XXX---2272126_3;XXX---2272127_3;XXX---2272128_3;XXX---2272129_3;XXX---2272145_3;XXX---23_MUC_Tram neu Prognose;XXX---FT_U9;XXX---MUC_U3_neu Prognose;XXX---MUC_U6_neu Prognose,151,bus;subway;tram,bus=Ja|tram=Ja|u_bahn=Ja|s_bahn=Nein,No targeted unresolved mode discrepancy in this review.,6,306,81,9,72,180s×81,high,"Eligible confirmed node; deterministic order by lines desc, modes desc, carsharing spaces desc, mp_id asc.",none,none
5,medium,4,-1,503,Rosenheimer Platz,Steinstraße 72,Rosenheimer Platz,Single complete StopArea.,106069,106069;106070;106070.1;106070.2;106070.3;106071;106072;106073;106074,106070;106070.1;106070.2;106070.3;106071;106072;106073;106074,106073,34.6,18,XXX---13_MUC_Tram neu Prognose;XXX---162455_109;XXX---162456_109;XXX---162458_109;XXX---162459_109;XXX---162460_109;XXX---162461_109;XXX---162462_109;XXX---2255086_3;XXX---2272005_0;XXX---2272010_0;XXX---2272013_0;XXX---25_MUC_Tram neu Prognose;XXX---S2_Prognose_Petershausen/Altomünster-Holzkirchen;XXX---S3_Prognose_Maisach-Erding;XXX---S4_Prognose_Geltendorf-Grafing;XXX---S7_Prognose_Geretsried Süd-Kreuzstraße;XXX---S8_Prognose_Herrsching-Schwaigerlohe,317,bus;rail;tram,bus=Nein|tram=Ja|u_bahn=Nein|s_bahn=Ja,LHM bus=Nein; MATSim bus line 2255086_3 serves StopArea 106069.,5,306,25,5,20,300s×25,high,"Eligible confirmed node; deterministic order by lines desc, modes desc, carsharing spaces desc, mp_id asc.",none,none
6,medium,5,-1,203,Baaderstraße,Baaderstraße 2,Isartor (proxy for Baaderstraße),The LHM Baaderstraße point is assigned only to the complete Isartor StopArea.,106063,106063;106064;106064.1;106064.2;106064.3;106064.4;106065;106065.1;106066;106067;106067.1;106068;106068.1;106068.2,106064;106064.1;106064.2;106064.3;106064.4;106065;106065.1;106066;106067;106067.1;106068;106068.1;106068.2,106066,93.8,18,XXX---162455_109;XXX---162456_109;XXX---162458_109;XXX---162459_109;XXX---162460_109;XXX---162461_109;XXX---162462_109;XXX---16_MUC_Tram neu Prognose;XXX---17_MUC_Tram neu Prognose;XXX---2272006_0;XXX---2272007_0;XXX---2272025_0;XXX---2272053_3;XXX---S2_Prognose_Petershausen/Altomünster-Holzkirchen;XXX---S3_Prognose_Maisach-Erding;XXX---S4_Prognose_Geltendorf-Grafing;XXX---S7_Prognose_Geretsried Süd-Kreuzstraße;XXX---S8_Prognose_Herrsching-Schwaigerlohe,315,bus;rail;tram,bus=Ja|tram=Ja|u_bahn=Nein|s_bahn=Ja,No targeted unresolved mode discrepancy in this review.,3,306,25,5,20,300s×25,medium,"Eligible confirmed node; deterministic order by lines desc, modes desc, carsharing spaces desc, mp_id asc.",Explicit proxy: the model contains no Baaderstraße interchange; the Isartor parent facility is 87.4 m away and the nearest served facility is 93.8 m away.,none
7,medium,6,-1,49,Giesinger Bahnhof,Giesinger Bahnhofsplatz,Giesing station complex,Single complete StopArea.,108495,108495;108496;108497;108498;108498.1;108498.2;108498.3;108499;108499.1;108500;108501;108502;108502.1;108503;108503.1;108504;108504.1;108505;108506;108506.1;108507;108507.1;108508;108509;108509.1,108496;108497;108498;108498.1;108498.2;108498.3;108499;108499.1;108500;108501;108502;108502.1;108503;108503.1;108504;108504.1;108505;108506;108506.1;108507;108507.1;108508;108509;108509.1,108496,23.1,17,XXX---162458_109;XXX---162461_109;XXX---18_MUC_Tram neu Prognose;XXX---2268562_3;XXX---2271996_1;XXX---2272001_1;XXX---2272008_0;XXX---2272034_3;XXX---2272039_3;XXX---2272057_3;XXX---2272064_3;XXX---2272127_3;XXX---2272128_3;XXX---28_MUC_Tram neu Prognose;XXX---MUC_U2_neu Prognose;XXX---S2_Prognose_Petershausen/Altomünster-Holzkirchen;XXX---S7_Prognose_Geretsried Süd-Kreuzstraße,186,bus;rail;subway;tram,bus=Ja|tram=Ja|u_bahn=Ja|s_bahn=Ja,No targeted unresolved mode discrepancy in this review.,6,272,196,14,182,180s×196,high,"Eligible confirmed node; deterministic order by lines desc, modes desc, carsharing spaces desc, mp_id asc.",none,none
8,medium,8,0,402,Scheidplatz,Scheidplatz 1 a,Scheidplatz / Scheidplatz Süd station complex,Two explicitly related StopAreas combined as one interchange complex.,107135;107140,107135;107136;107136.1;107137;107137.1;107140;107141;107141.1;107142;107142.1;107142.2;107143;107143.1;107144;107144.1;107144.2;107145;107145.1;107145.2;107146;107147;107148;107149;107149.1;107150,107136;107136.1;107137;107137.1;107141;107141.1;107142;107142.1;107142.2;107143;107143.1;107144;107144.1;107144.2;107145;107145.1;107145.2;107146;107147;107148;107149;107149.1;107150,107137,2.7,14,XXX---12_MUC_Tram neu Prognose;XXX---2271996_1;XXX---2271997_1;XXX---2272004_0;XXX---2272015_0;XXX---2272058_3;XXX---2272059_3;XXX---2272060_3;XXX---2272062_3;XXX---2272126_3;XXX---2272145_3;XXX---28_MUC_Tram neu Prognose;XXX---MUC_U2_neu Prognose;XXX---MUC_U3_neu Prognose,87,bus;subway;tram,bus=Ja|tram=Ja|u_bahn=Ja|s_bahn=Nein,No targeted unresolved mode discrepancy in this review.,11,182,104,12,92,180s×104,medium,"Eligible confirmed node; deterministic order by lines desc, modes desc, carsharing spaces desc, mp_id asc.",Combining Scheidplatz Süd with Scheidplatz is a model-node assumption supported by naming and adjacency.,none
9,small,12,3,401,Hohenzollernplatz,Hohenzollernstraße 99,Hohenzollernplatz,"Single complete StopArea, including U2 platforms 106586 and 106587.",106583,106583;106584;106584.1;106584.2;106584.3;106585;106586;106587,106584;106584.1;106584.2;106584.3;106585;106586;106587,106585,41.1,14,XXX---11_MUC_Tram neu Prognose;XXX---12_MUC_Tram neu Prognose;XXX---14_MUC_Tram neu Prognose;XXX---2271996_1;XXX---2272004_0;XXX---2272010_0;XXX---2272014_0;XXX---2272028_0;XXX---2272033_3;XXX---2272039_3;XXX---2272127_3;XXX---2272128_3;XXX---27_MUC_Tram neu Prognose;XXX---MUC_U2_neu Prognose,74,bus;subway;tram,bus=Ja|tram=Ja|u_bahn=Ja|s_bahn=Nein,U2 platforms 106586/106587 are in StopArea 106583 but outside the initial platform-level radius.,8,182,16,4,12,180s×16,medium,"Eligible confirmed node; deterministic order by lines desc, modes desc, carsharing spaces desc, mp_id asc.",Full StopArea membership overrides the initial platform-by-platform 150 m truncation after the node itself is spatially matched.,none
10,small,9,-1,510,Grillparzerstraße,Versailler Straße 1,Grillparzerstraße,Single complete StopArea.,106184,106184;106185;106185.1;106185.2;106185.3;106185.4;106186;106187;106187.1;106188;106189;106190,106185;106185.1;106185.2;106185.3;106185.4;106186;106187;106187.1;106188;106189;106190,106185,30.7,14,XXX---19_MUC_Tram neu Prognose;XXX---2255006_3;XXX---2272009_0;XXX---2272010_0;XXX---2272034_3;XXX---2272038_3;XXX---2272043_3;XXX---2272051_3;XXX---2272065_3;XXX---2272127_3;XXX---2272128_3;XXX---2272132_3;XXX---2272140_3;XXX---25_MUC_Tram neu Prognose,85,bus;tram,bus=Ja|tram=Ja|u_bahn=Nein|s_bahn=Nein,No targeted unresolved mode discrepancy in this review.,4,182,36,6,30,180s×36,high,"Eligible confirmed node; deterministic order by lines desc, modes desc, carsharing spaces desc, mp_id asc.",none,none
