final_rank,size,mp_id,hub_name,from_stop_id,from_stop_name,from_stop_area_id,from_stop_modes,to_stop_id,to_stop_name,to_stop_area_id,to_stop_modes,minimal_transfer_time_s,pair_type,within_confirmed_hub_node,candidate_for_later_change,review_note
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106076,Ostbahnhof,106075,bus,180,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106077,Ostbahnhof,106075,rail,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106078,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106079,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106080,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106081,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106082,Ostbahnhof,106075,tram,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106083,Ostbahnhof,106075,tram,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106084,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106085,Ostbahnhof,106075,subway,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106076,Ostbahnhof,106075,bus,106086,Ostbahnhof,106075,subway,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106077,Ostbahnhof,106075,rail,106076,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106077,Ostbahnhof,106075,rail,106077,Ostbahnhof,106075,rail,180,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
