measure,street_name,matsim_link_id,from_node,to_node,midpoint_x,midpoint_y,length_m,allowed_modes,type,origid,match_method,confidence,proposed_action,midpoint_distance_m,angle_difference_deg,affected_activities
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","39774","340075407","18926938",4467951.989,5332979.868,11.600,"car","residential","366231814",both,high,visual_review_before_fast_track_car_mode_removal,0.087,0.862,0
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","39775","18926938","340075407",4467951.989,5332979.868,11.600,"car","residential","366231814",both,high,visual_review_before_fast_track_car_mode_removal,0.087,0.862,0
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","85662","3607043222","340075407",4467961.089,5332962.148,28.325,"car","residential","4240775",both,high,visual_review_before_fast_track_car_mode_removal,0.727,0.137,0
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","148336","361798","18930997",4467859.893,5333242.443,31.588,"car","residential","30749949",both,high,visual_review_before_fast_track_car_mode_removal,0.000,0.000,1
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","148337","18930997","18931612",4467888.185,5333141.768,178.116,"car","residential","30749949",both,high,visual_review_before_fast_track_car_mode_removal,0.450,0.294,8
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","148338","18931612","18926938",4467931.794,5333020.830,79.797,"car","residential","30749948",both,high,visual_review_before_fast_track_car_mode_removal,1.182,0.729,2
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","148339","18926938","18931612",4467931.794,5333020.830,79.797,"car","residential","30749948",both,high,visual_review_before_fast_track_car_mode_removal,1.182,0.729,0
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","148354","18931612","18931000",4467899.523,5333052.624,31.047,"car","residential","30749947",both,high,visual_review_before_fast_track_car_mode_removal,4.013,1.704,0
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","257668","18930998","18930997",4467848.650,5333225.860,29.127,"car","residential","4592507",both,high,visual_review_before_fast_track_car_mode_removal,5.036,16.076,1
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","425785","18931000","18930998",4467859.988,5333136.716,184.174,"car","residential","27747338",both,high,visual_review_before_fast_track_car_mode_removal,3.797,2.396,4
"Pedestrian zones (Excel row 6)","Herzog-Wilhelm-Straße","425786","18930998","185840092",4467832.615,5333242.502,35.558,"car","residential","27747338",both,high,visual_review_before_fast_track_car_mode_removal,0.000,0.000,4
"Pedestrian zones (Excel row 6)","Kreuzstraße","493302","18931612","18931608",4467949.874,5333142.578,186.722,"car","residential","3927541",both,high,visual_review_before_fast_track_car_mode_removal,0.570,0.902,12
