scenario_id,sample_factor,unit,check_id,status,observed_value,threshold_or_expected,definition
BAU_2040,0.05,check,validated_source_output,PASS,"validated","exact","existing production analysis, normal shutdown, config, run ID and protected hashes"
BAU_2040,0.05,check,boundary_hash,PASS,"EFBC37F0627F94D95DAB67D1C5A2B9D05507DC9E8C9492A98A35BFF4A4AE2A26","canonical UTF-8/LF SHA-256","Munich municipal boundary"
BAU_2040,0.05,check,selected_plan_structural_trip_count,REPORTED,"564798","selected-plan main trips","structural final selected-plan trip index used for modal split and expanded counts"
BAU_2040,0.05,check,standard_output_trip_measured_count,REPORTED,"564790","unique standard output-trip rows","every available output row must match one indexed selected-plan trip"
BAU_2040,0.05,check,standard_output_trip_missing_count,REPORTED,"8","structural selected-plan trips","standard output-trip measurement not available for every structural selected-plan trip"
BAU_2040,0.05,check,standard_output_trip_coverage_percent,PASS,"99.998583564389","99.000000000000%","unique standard output-trip rows divided by structural selected-plan trips"
BAU_2040,0.05,check,valid_distance_time_measurement_count,REPORTED,"564790","valid routed distance/time rows","valid values used for Pkm, distance and travel-time statistics"
BAU_2040,0.05,check,valid_distance_time_coverage_percent,PASS,"99.998583564389","99.000000000000%","valid routed distance/time rows divided by structural selected-plan trips"
BAU_2040,0.05,check,measurement_both_inside_car_structural_trip_count,REPORTED,"60118","selected-plan main trips","structural count for accounting scope and main mode"
BAU_2040,0.05,check,measurement_both_inside_car_measured_trip_count,REPORTED,"60118","unique standard output-trip rows","available rows matching the structural scope and main mode"
BAU_2040,0.05,check,measurement_both_inside_car_missing_trip_count,REPORTED,"0","structural selected-plan trips","standard output-trip measurement not available for every structural selected-plan trip"
BAU_2040,0.05,check,measurement_both_inside_car_coverage_percent,PASS,"100.000000000000","99.000000000000%","unique standard output-trip rows divided by structural trips"
BAU_2040,0.05,check,measurement_both_inside_car_valid_distance_time_coverage_percent,PASS,"100.000000000000","99.000000000000%","valid routed distance/time rows divided by structural trips"
BAU_2040,0.05,check,measurement_both_inside_pt_structural_trip_count,REPORTED,"53499","selected-plan main trips","structural count for accounting scope and main mode"
BAU_2040,0.05,check,measurement_both_inside_pt_measured_trip_count,REPORTED,"53499","unique standard output-trip rows","available rows matching the structural scope and main mode"
BAU_2040,0.05,check,measurement_both_inside_pt_missing_trip_count,REPORTED,"0","structural selected-plan trips","standard output-trip measurement not available for every structural selected-plan trip"
BAU_2040,0.05,check,measurement_both_inside_pt_coverage_percent,PASS,"100.000000000000","99.000000000000%","unique standard output-trip rows divided by structural trips"
BAU_2040,0.05,check,measurement_both_inside_pt_valid_distance_time_coverage_percent,PASS,"100.000000000000","99.000000000000%","valid routed distance/time rows divided by structural trips"
BAU_2040,0.05,check,measurement_both_inside_bike_structural_trip_count,REPORTED,"35156","selected-plan main trips","structural count for accounting scope and main mode"
BAU_2040,0.05,check,measurement_both_inside_bike_measured_trip_count,REPORTED,"35156","unique standard output-trip rows","available rows matching the structural scope and main mode"
