scenario_id,sample_factor,unit,check_id,status,observed_value,threshold_or_expected,definition
BAU_2040,0.05,check,normal_shutdown_and_config,PASS,"validated","exact","normal shutdown, approved run ID, config semantics and manifest hashes"
BAU_2040,0.05,check,boundary_hash,PASS,"EFBC37F0627F94D95DAB67D1C5A2B9D05507DC9E8C9492A98A35BFF4A4AE2A26","canonical UTF-8/LF SHA-256","Munich municipal boundary"
BAU_2040,0.05,check,both_inside_trip_sum,PASS,"182517","derived per scenario","no 2019 denominator is imposed"
BAU_2040,0.05,check,unexpected_main_modes,PASS,"0","0","unexpected modes are fail-closed"
BAU_2040,0.05,check,missing_activity_coordinates,PASS,"0","0","all relevant main-activity endpoints have finite coordinates"
BAU_2040,0.05,check,vehicle_missing_links,PASS,"0","0","all vehicle events resolve to the used network"
BAU_2040,0.05,check,pt_reference_integrity,PASS,"0","0","schedule routes and boarding/alighting events reconcile"
BAU_2040,0.05,check,other_pt_route_modes,REPORTED,"[ferry]","reported separately","route modes outside bus, tram, subway and rail are not silently reassigned"
BAU_2040,0.05,check,late_stuck_person_incidence,PASS,"0.000000000000","<=0.10 percent","maximum iteration-level incidence among persons with BOTH_INSIDE trips in iterations 51-60"
BAU_2040,0.05,check,late_range_car,PASS,"0.577480453876","<=2.0 pp","iterations 51-60 modal-share range"
BAU_2040,0.05,check,late_trend_car,PASS,"0.066232103577","absolute value <0.10 pp/iteration","ordinary least-squares trend across iterations 51-60"
BAU_2040,0.05,check,late_range_pt,PASS,"0.459683207592","<=2.0 pp","iterations 51-60 modal-share range"
BAU_2040,0.05,check,late_trend_pt,PASS,"0.050612138911","absolute value <0.10 pp/iteration","ordinary least-squares trend across iterations 51-60"
BAU_2040,0.05,check,late_range_bike,PASS,"0.628982505739","<=2.0 pp","iterations 51-60 modal-share range"
BAU_2040,0.05,check,late_trend_bike,PASS,"-0.071485246455","absolute value <0.10 pp/iteration","ordinary least-squares trend across iterations 51-60"
BAU_2040,0.05,check,late_range_walk,PASS,"0.408181155728","<=2.0 pp","iterations 51-60 modal-share range"
BAU_2040,0.05,check,late_trend_walk,PASS,"-0.045358996032","absolute value <0.10 pp/iteration","ordinary least-squares trend across iterations 51-60"
BAU_2040,0.05,check,distance_time_coverage_car,PASS,"100.000000000000",">=99.0","valid standard output-trip distance and time records"
BAU_2040,0.05,check,distance_time_coverage_pt,PASS,"100.000000000000",">=99.0","valid standard output-trip distance and time records"
BAU_2040,0.05,check,distance_time_coverage_bike,PASS,"100.000000000000",">=99.0","valid standard output-trip distance and time records"
BAU_2040,0.05,check,distance_time_coverage_walk,PASS,"100.000000000000",">=99.0","valid standard output-trip distance and time records"
