scenario_id,sample_factor,unit,iteration,mode,stuck_event_count,relevant_both_inside_person_stuck_events,unique_affected_persons,unique_relevant_both_inside_persons,definition
BAU_2040,0.05,events,0,ALL,5377,3348,5377,3348,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,0,car,4929,3232,4929,3232,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,0,pt,447,116,447,116,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,0,walk,1,0,1,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,1,ALL,2700,1611,2700,1611,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,1,car,2157,1485,2157,1485,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,1,pt,540,126,540,126,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,1,walk,3,0,3,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,2,ALL,1527,786,1527,786,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,2,car,952,660,952,660,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,2,pt,571,126,571,126,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,2,walk,4,0,4,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,3,ALL,1031,453,1031,453,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,3,car,462,321,462,321,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,3,pt,566,132,566,132,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,3,walk,3,0,3,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,4,ALL,643,210,643,210,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,4,car,132,95,132,95,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,4,pt,509,115,509,115,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,4,walk,2,0,2,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,5,ALL,528,112,528,112,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,5,pt,524,112,524,112,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,5,walk,4,0,4,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,6,ALL,527,109,527,109,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,6,pt,522,109,522,109,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,6,walk,5,0,5,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,7,ALL,499,96,499,96,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,7,pt,495,96,495,96,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,7,walk,4,0,4,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,8,ALL,484,93,484,93,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,8,pt,477,93,477,93,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,8,walk,7,0,7,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,9,ALL,434,74,434,74,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,9,pt,431,74,431,74,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,9,walk,3,0,3,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,10,ALL,445,76,445,76,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,10,pt,442,76,442,76,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,10,walk,3,0,3,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,11,ALL,432,80,432,80,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,11,pt,427,80,427,80,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,11,walk,5,0,5,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,12,ALL,412,79,412,79,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,12,pt,410,79,410,79,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,12,walk,2,0,2,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
